Timestamp,Nationality,Age,Marital Status,Number of dependents,What percentage of your income goes to expenses related to your dependents?,Gender,Type of Employment,Are you in the Public or Private Sector?,Highest Educational Level,Which Region of Ghana Are You Based in?,What Industry do you work in?,What is the range of your take-home monthly income including all allowances and side endeavours?,Is your income mainly from a company/business based in Ghana or abroad?,Working arrangement.,How many months' worth of expenses do you have saved up?,Including your retirement benefits but excluding any physical assets? How much do you have saved up?,Do you own a home?,Do you own a car?
09/06/2023 16:35:01,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No
09/06/2023 16:35:12,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
09/06/2023 16:37:03,Ghanaian,26 - 35,Unmarried (never before married),None,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,International Organisation,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No
09/06/2023 16:38:19,Ghanaian,26 - 35,Unmarried (never before married),None,31% - 40%,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢1,000 and below",Ghana-Based,On-site working,4 - 7 months,"GH¢10,000 or less",No,No
09/06/2023 16:40:11,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Self-Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,000 and below",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 16:40:29,Ghanaian,26 - 35,Unmarried (never before married),4-7,31% - 40%,Male,Formally Employed,Private Sector,Graduate,Ashanti,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 16:42:02,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Male,Unemployed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢1,000 and below",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 16:42:55,Ghanaian,26 - 35,Unmarried (never before married),4-7,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 16:46:08,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Informally Employed,Private Sector,Post-Graduate,Bono East,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,000 and below",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 16:50:39,Ghanaian,25 and below,Unmarried (never before married),None,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
09/06/2023 16:58:34,Ghanaian,26 - 35,Married,4-7,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Western,"Mining, Oil & Gas, Energy","GH¢50,000 and above",Ghana-Based,On-site working,1 - 3 months,"GH¢100,000 - GH¢199,999",No,Yes
09/06/2023 17:02:53,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Fast moving consumer goods,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
09/06/2023 17:09:19,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 17:12:44,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 17:13:16,Ghanaian,26 - 35,Married,1-3,21% - 30%,Male,Self-Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢3,000,000 - GH¢9,999,999",Yes,Yes
09/06/2023 17:15:13,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Graduate,Bono East,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 17:16:04,Ghanaian,25 and below,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,Legal Services,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes
09/06/2023 17:22:07,Ghanaian,25 and below,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,Legal Services,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢100,000 - GH¢199,999",No,Yes
09/06/2023 17:23:36,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Technology & Telecommunication,"GH¢15,000 - GH¢19,999",Ghana-Based,On-site working,8 - 12 months,"GH¢100,000 - GH¢199,999",Yes,Yes
09/06/2023 17:24:37,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Self-Employed,Private Sector,Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,8 - 12 months,"GH¢100,000 - GH¢199,999",No,No
09/06/2023 17:28:04,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,Yes
09/06/2023 17:30:33,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Mining, Oil & Gas, Energy","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 17:34:58,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Legal Services,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
09/06/2023 17:37:11,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 17:38:37,Ghanaian,26 - 35,"Unmarried (divorced, widowed or separated)",None,31% - 40%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
09/06/2023 17:45:35,Ghanaian,26 - 35,Unmarried (never before married),None,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,Yes
09/06/2023 17:45:57,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",Yes,Yes
09/06/2023 17:57:05,Ghanaian,26 - 35,Married,1-3,21% - 30%,Female,Informally Employed,Private Sector,Graduate,Eastern Region,"Mining, Oil & Gas, Energy","GH¢10,000 - GH¢14,999",Abroad,Hybrid of on-site & remote working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,Yes
09/06/2023 17:59:41,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,Zero months,"GH¢100,000 - GH¢199,999",No,Yes
09/06/2023 18:03:53,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Communications, Advertising, Branding, PR & Marketing","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 18:05:22,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 18:07:26,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢7,500 - GH¢9,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,001 - GH¢29,999",Yes,Yes
09/06/2023 18:20:19,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Education,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 18:45:20,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 18:47:08,Ghanaian,26 - 35,Unmarried (never before married),1-3,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢2,500 - GH¢4,999",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢10,001 - GH¢29,999",No,No
09/06/2023 18:57:18,Ghanaian,25 and below,Unmarried (never before married),4-7,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢30,000 - GH¢49,999",Abroad,Remote working,More than 12 months,"GH¢100,000 - GH¢199,999",No,No
09/06/2023 19:08:00,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Greater Accra,Education,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,No
09/06/2023 19:44:26,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Female,Formally Employed,Private Sector,Graduate,Central,Technology & Telecommunication,"GH¢20,000 - GH¢29,999",Abroad,Remote working,8 - 12 months,"GH¢30,000 - GH¢49,999",Yes,No
09/06/2023 19:58:16,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 20:12:59,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Public Sector,Graduate,Ashanti,Education,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 20:19:47,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Legal Services,"GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,4 - 7 months,"GH¢30,000 - GH¢49,999",No,No
09/06/2023 20:42:58,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
09/06/2023 20:48:06,Ghanaian,26 - 35,Married,1-3,21% - 30%,Male,Formally Employed,Private Sector,Post-Graduate,Bono,Timber industry ,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,Yes
09/06/2023 21:45:17,Ghanaian,26 - 35,Married,1-3,6-10%,Male,Self-Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢15,000 - GH¢19,999",Ghana-Based,Hybrid of on-site & remote working,More than 12 months,"GH¢200,000 - GH¢499,999",No,No
09/06/2023 21:48:49,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢10,000 - GH¢14,999",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢200,000 - GH¢499,999",Yes,Yes
09/06/2023 21:59:46,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Abroad,Remote working,More than 12 months,"GH¢200,000 - GH¢499,999",No,Yes
09/06/2023 22:16:33,Ghanaian,36 - 45,"Unmarried (divorced, widowed or separated)",1-3,31% - 40%,Female,Formally Employed,Public Sector,Graduate,Ashanti,Agriculture ,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,No
09/06/2023 22:27:39,Ghanaian,36 - 45,Married,4-7,31% - 40%,Male,Formally Employed,Public Sector,Post-Graduate,Oti,Government & Politics,"GH¢1,001 - GH¢2,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 23:03:38,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢7,500 - GH¢9,999",Abroad,Remote working,1 - 3 months,"GH¢10,000 or less",No,No
09/06/2023 23:03:57,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 23:06:56,Ghanaian,36 - 45,Married,1-3,41% - 50%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,8 - 12 months,"GH¢100,000 - GH¢199,999",Yes,Yes
09/06/2023 23:18:40,Ghanaian,36 - 45,"Unmarried (divorced, widowed or separated)",4-7,More than 50%,Male,Formally Employed,Public Sector,Graduate,Volta,Health,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
09/06/2023 23:36:58,Ghanaian,36 - 45,Married,1-3,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,Yes
09/06/2023 23:42:46,Ghanaian,36 - 45,Married,More than 7,More than 50%,Male,Self-Employed,,Senior High School and Below,Ashanti,Trade in Goods,"GH¢5,000 - GH¢7,499",Ghana-Based,Remote working,More than 12 months,"GH¢200,000 - GH¢499,999",No,No
09/06/2023 23:47:23,Ghanaian,26 - 35,Unmarried (never before married),1-3,More than 50%,Female,Formally Employed,Public Sector,Post-Graduate,Ashanti,Government & Politics,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 00:05:20,Ghanaian,26 - 35,Unmarried (never before married),1-3,5% or less,Female,Informally Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢1,001 - GH¢2,499",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 00:11:00,Ghanaian,36 - 45,Unmarried (never before married),None,5% or less,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢30,000 - GH¢49,999",Ghana-Based,On-site working,1 - 3 months,"GH¢200,000 - GH¢499,999",No,Yes
10/06/2023 00:11:26,Ghanaian,26 - 35,Unmarried (never before married),1-3,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Transport, Logistics & Supply Chain Management","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,4 - 7 months,"GH¢100,000 - GH¢199,999",No,Yes
10/06/2023 00:12:49,Ghanaian,36 - 45,Married,More than 7,21% - 30%,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,4 - 7 months,"GH¢200,000 - GH¢499,999",Yes,Yes
10/06/2023 00:19:27,Ghanaian,26 - 35,Unmarried (never before married),None,11% - 20%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
10/06/2023 00:21:51,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Education,"GH¢5,000 - GH¢7,499",Abroad,Hybrid of on-site & remote working,8 - 12 months,"GH¢50,000 - GH¢99,999",No,Yes
10/06/2023 00:26:07,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Graduate,Ashanti,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,Hybrid of on-site & remote working,8 - 12 months,"GH¢10,001 - GH¢29,999",No,No
10/06/2023 00:36:06,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢1,001 - GH¢2,499",Abroad,Remote working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 00:37:45,Ghanaian,36 - 45,Married,4-7,More than 50%,Male,Formally Employed,Private Sector,Graduate,Western,Mining ,"GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,Zero months,"GH¢50,000 - GH¢99,999",No,Yes
10/06/2023 00:38:16,Ghanaian,26 - 35,Married,None,5% or less,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢50,000 - GH¢99,999",No,Yes
10/06/2023 00:44:44,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Professional Certification Only,Greater Accra,Technology & Telecommunication,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 00:58:30,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Self-Employed,Private Sector,Post-Graduate,Greater Accra,"Construction, Archictecture, Real Estate & Civil Engineering","GH¢15,000 - GH¢19,999",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
10/06/2023 01:05:07,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Non-Profit Organizations & Civil Society,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,Zero months,"GH¢100,000 - GH¢199,999",No,No
10/06/2023 01:09:55,Ghanaian,26 - 35,Unmarried (never before married),None,More than 50%,Male,Self-Employed,Private Sector,Graduate,Greater Accra,Trade in Goods,"GH¢1,000 and below",Ghana-Based,On-site working,More than 12 months,"GH¢10,000 or less",No,No
10/06/2023 01:11:43,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Government & Politics,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,8 - 12 months,"GH¢30,000 - GH¢49,999",No,Yes
10/06/2023 01:12:35,Ghanaian,26 - 35,Unmarried (never before married),1-3,21% - 30%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,Education,"GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,Yes
10/06/2023 01:26:26,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Public Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",Yes,No
10/06/2023 01:26:46,Ghanaian,26 - 35,Unmarried (never before married),1-3,6-10%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Education,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,Zero months,"GH¢30,000 - GH¢49,999",Yes,Yes
10/06/2023 01:30:43,Ghanaian,26 - 35,Married,None,5% or less,Female,Formally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢50,000 - GH¢99,999",No,No
10/06/2023 01:32:08,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Informally Employed,Public Sector,Graduate,Greater Accra,Government & Politics,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 01:43:15,Ghanaian,26 - 35,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Western,Agricultural ,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 01:44:50,Ghanaian,25 and below,Unmarried (never before married),1-3,31% - 40%,Male,Informally Employed,Private Sector,Graduate,Bono,Lotto business ,"GH¢1,000 and below",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 01:47:19,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,Zero months,"GH¢100,000 - GH¢199,999",No,No
10/06/2023 01:50:50,Ghanaian,26 - 35,Unmarried (never before married),None,,Female,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢15,000 - GH¢19,999",Ghana-Based,On-site working,Zero months,"GH¢100,000 - GH¢199,999",No,No
10/06/2023 01:54:37,Ghanaian,26 - 35,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,Remote working,4 - 7 months,"GH¢10,001 - GH¢29,999",No,No
10/06/2023 01:58:01,Ghanaian,26 - 35,Married,1-3,5% or less,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Health,"GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,8 - 12 months,"GH¢50,000 - GH¢99,999",No,Yes
10/06/2023 01:58:12,Ghanaian,26 - 35,"Unmarried (divorced, widowed or separated)",1-3,5% or less,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢7,500 - GH¢9,999",Ghana-Based,On-site working,More than 12 months,"GH¢50,000 - GH¢99,999",No,No
10/06/2023 02:04:42,Ghanaian,26 - 35,Married,None,5% or less,Female,Formally Employed,Public Sector,Post-Graduate,Greater Accra,Public Service Organization,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,4 - 7 months,"GH¢50,000 - GH¢99,999",No,No
10/06/2023 02:09:56,Ghanaian,36 - 45,Married,4-7,6-10%,Male,Formally Employed,Public Sector,Graduate,Volta,Health,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,Zero months,"GH¢10,000 or less",No,Yes
10/06/2023 02:13:07,Ghanaian,25 and below,Unmarried (never before married),4-7,21% - 30%,Male,Formally Employed,Public Sector,Senior High School and Below,Greater Accra,Utility ,"GH¢1,001 - GH¢2,499",Ghana-Based,On-site working,More than 12 months,"GH¢10,001 - GH¢29,999",No,No
10/06/2023 02:15:28,Ghanaian,26 - 35,Married,1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Ashanti,"Mining, Oil & Gas, Energy","GH¢20,000 - GH¢29,999",Ghana-Based,On-site working,1 - 3 months,"GH¢200,000 - GH¢499,999",No,Yes
10/06/2023 02:18:52,Ghanaian,25 and below,Unmarried (never before married),None,,Male,Formally Employed,Private Sector,Graduate,Greater Accra,Technology & Telecommunication,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,1 - 3 months,"GH¢10,000 or less",No,No
10/06/2023 02:20:13,Ghanaian,26 - 35,Unmarried (never before married),1-3,31% - 40%,Female,Formally Employed,Private Sector,Post-Graduate,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
10/06/2023 02:29:31,Ghanaian,26 - 35,Married,1-3,More than 50%,Male,Formally Employed,Public Sector,Graduate,Central,Health,"GH¢2,500 - GH¢4,999",Ghana-Based,On-site working,Zero months,"GH¢10,001 - GH¢29,999",No,No
10/06/2023 02:36:30,Ghanaian,26 - 35,Unmarried (never before married),1-3,11% - 20%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Communications, Advertising, Branding, PR & Marketing","GH¢15,000 - GH¢19,999",Abroad,Hybrid of on-site & remote working,1 - 3 months,"GH¢30,000 - GH¢49,999",No,Yes
10/06/2023 02:39:01,Ghanaian,36 - 45,Unmarried (never before married),4-7,31% - 40%,Male,Formally Employed,Private Sector,Post-Graduate,Greater Accra,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,On-site working,1 - 3 months,"GH¢10,001 - GH¢29,999",No,No
10/06/2023 02:43:23,Ghanaian,36 - 45,Married,1-3,6-10%,Male,Formally Employed,Private Sector,Graduate,Greater Accra,"Mining, Oil & Gas, Energy","GH¢50,000 and above",Abroad,On-site working,1 - 3 months,"GH¢10,000 or less",Yes,No
10/06/2023 02:47:08,Ghanaian,26 - 35,Married,None,5% or less,Female,Formally Employed,Private Sector,Post-Graduate,Eastern Region,"Financial Services, Management Consulting, Audit & Assurance","GH¢10,000 - GH¢14,999",Ghana-Based,On-site working,More than 12 months,"GH¢100,000 - GH¢199,999",No,Yes
10/06/2023 02:47:28,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Female,Informally Employed,Private Sector,Senior High School and Below,Greater Accra,"Financial Services, Management Consulting, Audit & Assurance","GH¢1,001 - GH¢2,499",Ghana-Based,Remote working,Zero months,"GH¢10,000 or less",No,No
10/06/2023 02:48:30,Ghanaian,25 and below,Unmarried (never before married),None,5% or less,Male,Formally Employed,Private Sector,Graduate,Eastern Region,Technology & Telecommunication,"GH¢5,000 - GH¢7,499",Ghana-Based,Hybrid of on-site & remote working,1 - 3 months,"GH¢10,000 or less",No,Yes
